ISBN,title,authors,books_count
566418201696,The Hunger Games,Suzanne Collins,272
566517926005,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPre",491
567102643180,Twilight,Stephenie Meyer,226
569490130756,To Kill a Mockingbird,Harper Lee,487
573020618840,The Great Gatsby,F. Scott Fitzgerald,1356
577412765919,The Fault in Our Stars,John Green,226
579671026630,The Hobbit or There and Back Again,J.R.R. Tolkien,969
580137184223,The Catcher in the Rye,J.D. Salinger,360
582596673181,Angels & Demons ,Dan Brown,311
583927566594,Pride and Prejudice,Jane Austen,3455
585165989076,The Kite Runner ,Khaled Hosseini,283
585918117012,Divergent,Veronica Roth,210
593970527753,Nineteen Eighty-Four,"George Orwell, Erich Fromm",995
593985940517,Animal Farm: A Fairy Story,George Orwell,896
594924896897,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",710
595844582224,Men som hatar kvinnor,"Stieg Larsson, Reg Keeland",274
597863006342,Catching Fire,Suzanne Collins,201
601974251196,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPre, Rufus Beck",376
605837558541, The Fellowship of the Ring,J.R.R. Tolkien,566
606992251898,Mockingjay,Suzanne Collins,239
607793545244,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPre",307
610733955127,The Lovely Bones,Alice Sebold,183
612667389933,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPre",398
613156725875,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPre",332
613969937917,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPre",263
614104924482,The Da Vinci Code,Dan Brown,350
615419388242,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPre",275
620746073595,Lord of the Flies ,William Golding,458
622760517241,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert Jackson",1937
625389968238,Gone Girl,Gillian Flynn,196
626844973905,The Help,Kathryn Stockett,183
628590580708,Of Mice and Men ,John Steinbeck,373
629481563903,Memoirs of a Geisha,Arthur Golden,220
630191257756,Fifty Shades of Grey,E.L. James,169
630879829830,O Alquimista,"Paulo Coelho, Alan R. Clarke",458
630985004922,The Giver,Lois Lowry,192
632765221939,"The Lion, the Witch and the Wardrobe",C.S. Lewis,474
637786573665,The Time Traveler's Wife,Audrey Niffenegger,167
641036696044,A Game of Thrones,George R.R. Martin,101
644551097861,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,185
645595136855,The Lightning Thief,Rick Riordan,159
652109081807,Little Women,Louisa May Alcott,1707
654320236550,Jane Eyre,"Charlotte Bronte, Michael Mason",2568
655119477199,The Notebook,Nicholas Sparks,190
656468125444,Life of Pi,Yann Martel,264
662764504026,Water for Elephants,Sara Gruen,128
663258874392,The Book Thief,Markus Zusak,251
667482689252,Fahrenheit 451,Ray Bradbury,507
668491872634,New Moon ,Stephenie Meyer,194
670801613964,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,45
670892612709,City of Bones,Cassandra Clare,178
674164709202,Eclipse,Stephenie Meyer,185
674765219080,Eragon,Christopher Paolini,217
676241704208,The Hitchhiker's Guide to the Galaxy,Douglas Adams,257
676369929334,Brave New World,Aldous Huxley,515
681747663863,Breaking Dawn,Stephenie Meyer,183
683918486082,The Secret Life of Bees,Sue Monk Kidd,125
684425028525,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",2277
685393108497,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",180
686368608240,The Curious Incident of the Dog in the Night-Time,Mark Haddon,183
689516194957,The Girl on the Train,Paula Hawkins,14
689557816197,Northern Lights,Philip Pullman,287
693190645730,Wuthering Heights,"Emily Bronte, Richard J. Dunn",2498
693762313923,My Sister's Keeper,Jodi Picoult,125
697051915035,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,241
697890756371,Gone with the Wind,Margaret Mitchell,409
700521548618,A Thousand Splendid Suns,Khaled Hosseini,197
702160547692,The Perks of Being a Wallflower,Stephen Chbosky,128
702488000674,Insurgent,Veronica Roth,164
703736886083,Ender's Game,Orson Scott Card,224
704040414489,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",2618
706507812349,The Shining,Stephen King,289
711486587562,The Host,Stephenie Meyer,161
714794662270,Looking for Alaska,John Green,187
715886795730,Bridget Jones's Diary ,Helen Fielding,193
716187697030,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1969
718923269388,Holes,"Louis Sachar, Louis Sachar",138
721332106434,The Devil Wears Prada,Lauren Weisberger,129
721928078692,Le Petit Prince,"Antoine de Saint-Exupery, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1703
723574405747,The Glass Castle,Jeannette Walls,1708
724420365932,Into the Wild,Jon Krakauer,92
726560058856,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",108
727582912302,Jurassic Park,Michael Crichton,525
727599038624,The Giving Tree,Shel Silverstein,176
728785795663,A Time to Kill,John Grisham,81
729508466610,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",158
730102049333,Paper Towns,John Green,109
730477910491,The Princess Bride,William Goldman,178
731517067879,The Outsiders,S.E. Hinton,129
733984364945,The Maze Runner,James Dashner,156
734807139406,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",147
739518673664,The Secret Garden,Frances Hodgson Burnett,124
744327434873,Cien aeos de soledad,"Gabriel Garcea Merquez, Gregory Rabassa",1350
749873779209,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",555
749971768902,Fifty Shades Freed,E.L. James,2303
752252402081,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",133
754118339342,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",2207
754390031608,Fifty Shades Darker,E.L. James,209
755461307176,The Poisonwood Bible,Barbara Kingsolver,147
758496374643,Me Talk Pretty One Day,David Sedaris,39
758688486023,Where the Wild Things Are,Maurice Sendak,59
760876158108,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",110
762644804024,The Road,Cormac McCarthy,1310
763552542801,Allegiant,Veronica Roth,181
767920609145,Bossypants,Tina Fey,153
768122208676,A Walk to Remember,Nicholas Sparks,48
768209999067,Confessions of a Shopaholic,Sophie Kinsella,131
769289001455,Les Miserables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",144
770441675384,A Clash of Kings,George R.R. Martin,1319
776600014681,The Memory Keeper's Daughter,Kim Edwards,202
782805828164,Me Before You,Jojo Moyes,98
784498177344,Catch-22,Joseph Heller,168
784534763145,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",251
784710560860,Middlesex,Jeffrey Eugenides,172
791688975510,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",125
793543086516,A Wrinkle in Time,Madeleine L'Engle,2448
795266524064,The Joy Luck Club,Amy Tan,165
797625970083,The Handmaid's Tale,Margaret Atwood,126
800263841523,The Sisterhood of the Traveling Pants,Ann Brashares,236
800269689604,Lolita,"Vladimir Nabokov, Craig Raine",93
800384073932,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",370
801072221050,The Firm,John Grisham,80
806356447587,Room,Emma Donoghue,11
809046741644,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",151
809844536020,Dune,Frank Herbert,1929
814210733187,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,241
814484502587,Steve Jobs,Walter Isaacson,100
815057352565,One Flew Over the Cuckoo's Nest,Ken Kesey,190
819722754134,The Old Man and the Sea,Ernest Hemingway,275
822501449766,The Grapes of Wrath,John Steinbeck,666
822823752645,The Five People You Meet in Heaven,Mitch Albom,381
823351099662,Anne of Green Gables,L.M. Montgomery,123
823733224773,City of Glass,Cassandra Clare,1314
824212814341,A Storm of Swords,George R.R. Martin,122
825123067782,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,175
825771810909,Outlander,Diana Gabaldon,75
827499449034,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",189
828009902344,Miss Peregrinees Home for Peculiar Children,Ransom Riggs,1579
828954313453,Luftslottet som sprengdes,"Stieg Larsson, Reg Keeland",155
829670137779,The Martian,Andy Weir,193
829936875336,The Pillars of the Earth,Ken Follett,148
831168407879,All the Light We Cannot See,Anthony Doerr,255
832833781472,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,139
834475250582,Deception Point,Dan Brown,16
837063341610,The Goldfinch,Donna Tartt,180
842471007990,Thirteen Reasons Why,Jay Asher,108
842551710261,Girl with a Pearl Earring,Tracy Chevalier,150
844670974819,If I Stay,Gayle Forman,169
845256749937,The Red Tent,Anita Diamant,130
848283834823,The Sea of Monsters,Rick Riordan,80
848888310022,Dear John,Nicholas Sparks,121
849128034336,City of Ashes,Cassandra Clare,111
851013051808,The Tragedy of Macbeth,William Shakespeare,125
855834365090,The Two Towers,J.R.R. Tolkien,1732
856098045186,Something Borrowed,Emily Giffin,453
856151092357,Green Eggs and Ham,"Dr. Seuss, ",65
862052883197,Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake",72
862351616413,The Battle of the Labyrinth,Rick Riordan,338
864084514571,Great Expectations,Charles Dickens,92
872509340715,The Return of the King,J.R.R. Tolkien,1725
873076809231,Leetranger,"Albert Camus, Matthew    Ward",470
875052363607,The Lost Hero,Rick Riordan,675
875675933010,Eleanor & Park,Rainbow Rowell,72
877826207650,A Feast for Crows,George R.R. Martin,103
878760238958,Matched,Ally Condie,176
879811310382,American Gods,Neil Gaiman,84
880780302684,The Stand,"Stephen King, Bernie Wrightson",196
881384369238,The Last Song,Nicholas Sparks,195
888950149518,Digital Fortress,Dan Brown,95
892021271520,Emma,"Jane Austen, Fiona Stafford",185
892523301364,A Clockwork Orange,Anthony Burgess,1710
895024825822,The Shack: Where Tragedy Confronts Eternity,William Paul Young,1492
896254613570,The Last Olympian,Rick Riordan,283
898408973272,It,Stephen King,134
899589351767,The Bell Jar,Sylvia Plath,87
901739053459,Angela's Ashes: A Memoir,Frank McCourt,7
